Category,Model,Rating,master_item_number,manu,part_number,upc,Description,price,vendor,effective_date
COOLING,,,201-1598,HOFFMAN,TFP41,,"Cooling Fan Package, 4 inch, 115V, 50/60Hz, Material/Finish: ABS/LtGray.",169.39,Rexel,6/30/2025
COOLING,,,201-1700,HOFFMAN,TEP4,,"Exhaust Grille, Size/Dims: fits 4 in",76.44,Rexel,6/30/2025
MCCB,,,207-0642,EATON,PDG63M2000E2NN,,"SERIES PD, FRAME SIZE 6 CIRCUIT BREAKER, 2000 AMP, ADJUSTABLE TRIP, 1000A-2000A","5,233.15",BRENNER,10/7/2024
MCCB,,,207-0643,EATON,PDG6XFS06,,FLEX CABLE DISCONNECT,399.7,BRENNER,5/8/2025
MCCB,,,207-0644,EATON,PDG6X3TA2000,,LINE / LOAD LUGS FOR FRAME 6 CIRCUIT BREAKER,"2,034.78",GALCO,1/8/2025
PDB,,,206-3115,AB,1492-PD3287,,"1492 POWER DISTRIBUTION BLOCK, 3-POLE, ALUMINUM, 2 INCOMMING, 8 OUTGOING, 760A",223.48,Rexel,6/24/2025
PDB,,,205-5450,AB,1492-PBC3,,"Distribution Block, Cover, 1P, for 380 - 760 Amp",11.02,Rexel,6/24/2025
XFMR-Ctrl,,1000,201-4200,SOLA HD,HZ1000,,"HSZ Series Industrial Control Transformers 1kVA, 480/240 x 120/115v, 50/60 Hz",568.74,Rexel,6/24/2025
XFMR-Ctrl,,1500,,SOLA HD,HZ1500,,"HSZ Series Industrial Control Transformers 1.5kVA, 480/240 x 120/115v, 50/60 Hz",935.37,Rexel,6/24/2025
XFMR-Ctrl,,2000,,SOLA HD,HZ2000,,"HSZ Series Industrial Control Transformers 2kVA, 480/240 x 120/115v, 50/60 Hz","1,234",Rexel,6/24/2025
XFMR-Ctrl,,3000,,SOLA HD,HZ3000,,"HSZ Series Industrial Control Transformers 3kVA, 480/240 x 120/115v, 50/60 Hz","1,680.79",Rexel,6/24/2025
XFMR-Ctrl,,5000,,SOLA HD,HZ5000,,"HSZ Series Industrial Control Transformers 5kVA, 480/240 x 120/115v, 50/60 Hz","1,573.91",Rexel,6/24/2025
CAB,1492,15A,205-6661,AB,1492-REC15,,"DIN Rail, Mounted Duplex Receptacle, 15 Amp, 125 Volt AC",26.7,Rexel,6/30/2025
MISC,,,,,MISC250,,Misc Components,250,-,6/24/2025
MISC,,,,,MISC500,,Misc Components,500,-,6/24/2025
MISC,,,,,MISC750,,Misc Components,750,-,6/24/2025
MISC,,,,,MISC1000,,Misc Components,"1,000",-,6/24/2025
MCCB,,M Frame,207-3517,AB,140G-M6F3-D60,,"Breaker, Molded Case, 600 Amp, 3-Pole, 600 Volt AC, 65 kAIC, M Frame, Thermal Magnetic, Adjustable, ","5,015.41",,6/24/2025
MCCB,,M Frame,205-8335,AB,140G-M-FMX04,,"Breaker, Molded Case, 4 Foot, Flange Cable, Operating Mechanism, Plastic Actuator, Painted Metal Handle",528.76,,6/24/2025
MCCB,,M Frame,206-3117,AB,140G-M-TLA23,,"Breaker, Molded Case, M Frame, Terminal Lugs, 2 x 250 - 500 MCM, AL/CU, 3 Per Package",166.64,,6/24/2025
Assy-Labor,,,,,LaborVFD,,Panel Shop Assembly Per Door Estimated,"3,500",,6/24/2025
Assy-Labor,,,,,LaborIO,,Panel Shop Assembly Per Door Estimated,"4,500",,6/24/2025
Assy-Labor,,,,,LaborIOWall_Mt,,Panel Shop Assembly Per Door Estimated,"2,500",,6/24/2025
Assy-Labor,,,,,LaborJBX,,Panel Shop Assembly Per Door Estimated,250,,6/24/2025
Assy-Mtl,,,,,MtlVFD,,Panel Shop Material Per Door Estimated,"1,000",,6/24/2025
Assy-Mtl,,,,,MtI/OWall_Mt,,Panel Shop Material Per Door Estimated,750,,6/24/2025
Assy-Mtl,,,,,MtI/O,,Panel Shop Material Per Door Estimated,"1,500",,6/24/2025
Assy-Mtl,,,,,MtlJBX,,Panel Shop Material Per Door Estimated,250,,6/24/2025
RIO,1734,,"207-7111,201-0842",AB,1734-AENTR,,"Communication Adapter, 2 Ethernet/IP Ports",726.34453,Rexel,6/30/2025
RIO,1734,,201-1787,AB,1734-EP24DC,,"Expansion Power Supply, 24VDC Input, 400mA, Horizontal Mounting",226.51141,Rexel,6/30/2025
RIO,1734,,201-1063,AB,1734-FPD,,"Field Power Distributor, 10 - 28.8VDC, 120/240VAC Operating Range",127.79816,Rexel,6/30/2025
RIO,1734,,201-0838,AB,1734-IA4,,"I/O Module, Series C Digital AC Input, 4 Non-Isolated Channel",163.14282,Rexel,6/30/2025
RIO,1734,,201-1589,AB,1734-IB4,,"I/O Module, Digital DC Input, 4 Channel, DIN Rail, 24VDC",82.92592,Rexel,6/30/2025
RIO,1734,,201-1713,AB,1734-IB8,,"I/O Module, Digital DC Input, 8 Channel, DIN Rail, 24VDC",138.20987,Rexel,6/30/2025
RIO,1734,,"201-2760,207-7122",AB,1734-IB8S,,"I/O Module, Safety, 8 Point Input",582.92172,Rexel,6/30/2025
RIO,1734,,201-1587,AB,1734-IE2C,,"I/O Module, Analog, 2 Inputs, Single Ended, 75mA",364.72129,Rexel,6/30/2025
RIO,1734,,201-1588,AB,1734-IE2V,,"I/O Module, Analog, 2 Inputs, Single Ended, 75mA",348.09932,Rexel,6/30/2025
RIO,1734,,201-1789,AB,1734-IE4C,,"I/O Module, Analog, 4 Inputs, Single Ended, 75mA",578.80513,Rexel,6/30/2025
RIO,1734,,201-3246,AB,1734-OA4,,"I/O Module, Series C Digital AC Output, 4 Non-Isolated Channel",207.82408,Rexel,6/30/2025
RIO,1734,,201-1613,AB,1734-OB4,,"I/O Module, Digital DC Output, 4 Channel, Current Sourcing, 24VDC",95.50203,Rexel,6/30/2025
RIO,1734,,201-1628,AB,1734-OB8,,"I/O Module, 24VDC, 8 Current Sourcing, 75mA, Pointbus Current",155.88574,Rexel,6/30/2025
RIO,1734,,201-4181,AB,1734-OB8S,,"I/O Module, Safety, Digital DC Output, 8 Channel, Current Sourcing",677.61741,Rexel,6/30/2025
RIO,1734,,205-3146,AB,1734-OE2C,,"I/O Module, Analog, 2 Single Ended Outputs, 75mA, Pointbus Current",375.11886,Rexel,6/30/2025
RIO,1734,,201-1586,AB,1734-OE2V,,"I/O Module, Analog, 2 Single Ended Outputs, 75mA, Pointbus Current",362.64885,Rexel,6/30/2025
RIO,1734,,"207-7121,201-0837",AB,1734-OW4,,"I/O Module, Digital Contact Output, 4 Channel",200.55285,Rexel,6/30/2025
RIO,1734,,"204-9425,201-1064",AB,1734-TB,,"Terminal Base, 8 Screw, 10A, 24VDC, 120/240VAC, DIN Rail",26.91344,Rexel,6/30/2025
RIO,1734,,206-3100,AB,1734-VTM,,"Terminal Module, Voltage, 8 Channel, High Density",40.40906,Rexel,6/30/2025
PB,800T,,203-8659,AB,800T-D6A,,30mm Momentary Push Button 800T PB,90.24328,Rexel,6/30/2025
PB,800T,,203-3473,AB,800T-A2A,,"Push Button, Flush Head, Black, 30mm, Momentary, NEMA 4/13",59.10335,Rexel,6/30/2025
PB,800T,,"201-1813, 207-7209",AB,800T-A6D2,,"Push Button, Flush Head, Red, Momentary, 30 mm, NEMA 4/13, 1 Normally Closed, Contact Block",43.32,Rexel,6/30/2025
PB,800T,,203-8659,AB,800T-B6A,,"Push Button, Extended Head, 30mm, Red, NEMA 4/13",59.10335,Rexel,6/30/2025
PB,800T,,"201-1736,201-4392",AB,800T-QBH2W,,"Push Button, Extended White Head, 12-130V AC/DC, LED, 30mm",147.06333,Rexel,6/30/2025
PB,800T,,204-8029,AB,800T-N310J,,"Push Button, Jumbo Protective Guard, 60mm, Push-Pull, 30mm",54.09572,Rexel,6/30/2025
PB,800T,,204-0636,AB,800T-FX6A1,,"Push Button, Push-Pull, Red, 30mm, 1NO/1NCLB, NEMA 4/13",121.3888,Rexel,6/30/2025
PB,800T,,201-1606,AB,800T-FXQH2RA1,,"Push Button, Push-Pull, 30mm, Illuminated, Mushroom Head, Red",178.37632,Rexel,6/30/2025
PB,800T,,201-4385,AB,800T-FXQH2RA5,,"Push Button, Push-Pull, 30mm, Maintained, Illuminated, LED, Red, 12 - 130 Volt AC/DC, 2 Normally Closed, Late Break, Contact Blocks, NEMA 4/13",178.38,Rexel,6/30/2025
PB,800T,,207-7131,AB,800T-D9D2,,"Push Button, Mushroom Head, Momentary, 30 mm, Yellow, 1 Normally Closed, Contact Block, NEMA 4/13",74.46,Rexel,6/30/2025
PB,800T,,"205-1523,203-0164",nVent Hoffman,ASPB,,"Hole Seal, for 30.5mm Pushbutton Enclosures",8.6747,Rexel,6/30/2025
PB,800T,,207-6037,AB,800T-XD2,,"Contact Block, 1NC, Type 4/13, 30mm, Shallow",15.77652,Rexel,6/30/2025
PB,800T,,201-2759,AB,800T-XA1,,"Contact Block, 1NO/1NCLB, Shallow Type 4/13, 30mm, Screw Attachment",31.56421,Rexel,6/30/2025
PB,800T,,201-1600,AB,800T-X559JE,,"Custom Engraved Nameplate, 30.5mm, Gray Background, Metal, Jumbo Size, ",17.04,Rexel,6/30/2025
PB,800T,,"204-9199,201-1605",AB,800T-X646EM,,Legend Plate,6.82,Rexel,6/30/2025
SS,800T,,"205-2421,204-6927,204-9316",AB,800T-2JGH91KB7AX,,30MM SELECTOR,185.28763,Rexel,6/30/2025
SS,800T,,"201-1738,205-8678,207-7132",AB,800T-J20A,,30mm Selector Switch 800T PB,90.30469,Rexel,6/30/2025
SS,800T,,203-4091,AB,800T-H2A,,"Selector Switch, 2-Position, Maintained, 30mm, Knob",69.54846,Rexel,6/30/2025
SS,800T,,203-8501,AB,800T-H31D1,,"Selector Switch, 2-Position, Keyed, 30mm, Key Removal from Left",116.15787,Rexel,6/30/2025
SS,800T,,207-1829,AB,800T-N17KF4C,,"Selector Switch, 4 Position, Maintained, 4NO/4NC, Contacts, 30mm",164.22435,Rexel,6/30/2025
SS,800T,,207-3044,AB,800TC-H32A,,30MM SELECTOR SWITCH 800T PB,134.99926,Rexel,6/30/2025
SS,800T,,201-1715,AB,800T-T2H3EEXX,,"Toggle Switch, 2 Way, Spring Return, 30mm, 1NO/NC Contact",217.7339,Rexel,6/30/2025
POT,800T,,"201-4835,206-2347",AB,800T-U29,,"Potentiometer, 30mm, 10,000 Ohms, Type 4/13",220.19584,Rexel,6/30/2025
PL,800T,,"201-4384,207-7524,202-9402,205-1369",AB,800T-QH2G,,"Pilot Light, Green, LED, 12-130V AC/DC, 30 mm, Type 4/13",115.80058,Rexel,6/30/2025
FU,1492,15,204-7735,AB,1492-H5,,"Terminal Block, Fuse Holder, 15 Amp, 10 - 57 Volt AC/DC, Black, with LED Blown Fuse Indicator",10.95,Rexel,6/30/2025
FU,,2,207-7281,FERRAZ SHAWMUT,GDL2,,TIME DELAY GLASS FUSE,0.89,Rexel,6/30/2025
DCPS,,,206-7072,SOLA HD,SDN40-24-100C,,24VDC Power Supply 40AMPS,"1,155.02",Rexel,4/10/2025
DCPS,,,206-7279,SOLA HD,SDN5-24-100C,,24VDC POWER SUPPLY 5AMP,209.61,Rexel,1/6/2025
DCPS,1606,10A,204-7736,AB,1606-XLB240E,,"Power Supply, 240 Watt, 24 - 28 Volt DC Output, 90 - 264 Volt Input, 1-Phase, 10 Amp Output, DIN Rail Mount",223.88,Rexel,6/30/2025
FU,,,206-4472,SCHNEIDER,M9L11120,,"MULTI-9 SURGE ARRESTER, 1-POLE W/ REMOTE SIGNALING",65.33,Cresent,4/13/2025
CB,1492,,207-7117,AB,1492-SP1C200,," CIRCUIT BREAKER, MINIATURE SUPPLEMENTARY PROTECTOR, BULLETIN 1492-SP SERIES C",37.32,Rexel,12/4/2024
,,,,AB,1492-SP1C100,,"Breaker, 10 Amp, 1-Pole, 277 Volt, Miniature, Inductive Loads",46.3,Rexel,6/30/2025
CR-Sfty,,,205-8843,PILZ,774150,,Safety Relay - 24VDC 8N/O 1N/C,459.54,RS-AMERICAS,4/13/2025
TB,1492,,"201-3242, 204-4630, 207-7120, 205-0245, 201-1581",AB,1492-EAJ35,,"Terminal Block, End Anchor, Normal Duty, for DIN Rail",1.32,Rexel,6/30/2025
HMI,,,,HOPE INDUSTRIAL,HIS-ML23.8-FTVA,,"23.8"" RESISTIVE SINGLE TOUCH INDUSTRIAL SCREEN, PANEL MOUNT","1,178","Hope Industrial Systems, INC.",5/12/2025
PC,,,206-1926,ONLOGIC SUPPLY,HX500,,"LOGIC SUPPLY HX500 COMPUTER, 16GB WT RAM, 512GB SSD, CORE I7, WINDOWS 11 PRO 64, TB PWR, AUTO ON, WALL BRKTS, PORT BLK","2,047","Logic Supply, INC",4/15/2025
INST-LAS,,,201-2808,IFM EFECTOR,E21079,,MOUNTING BLOCK F,58.75,,6/30/2025
INST-LAS,,,201-1749,IFM EFECTOR,O1D100,,Laser Distance Sensor,393.99,,6/30/2025
CONN,,,205-4340,MENCOM,MDE45-4MP-FW07,,"Ethernet, Field Wireable, 4 Pole, M12 D-Coded Male Straight, PG07 3-6.5mm",10.56,SEAGATE CONTROL SYSTEMS,9/24/2024
CONN,,,206-8402,PHOENIX CONTACT,_1521355,,"4 POSITION, STRAIGHT,FEMALE, SCREW CONNECTION 10MM-12MM",30.71,"NEFF GROUP DISTRIBUTORS, INC",9/24/2024
CONN,,,206-8401,PHOENIX CONTACT,_1521339,,"4 POSITION, STRAIGHT, MALE, SCREW CONNECTION 10MM-12MM",32.63,"NEFF GROUP DISTRIBUTORS, INC",9/24/2024
CONN,,,206-6823,PHOENIX CONTACT,_1542952,,"Connector, Universal, 4-position, Plug straight M12 SPEEDCON, Coding: A, Screw connection, cable gland Pg7, external cable diameter 4 mm ... 6 mm",8.93,"NEFF GROUP DISTRIBUTORS, INC",9/24/2024
IOL,,,207-5949,BALLUFF,BNI00H2,,"I/O LINK MODULE, 2A/CHANNEL, 8 PORT MASTER",488.47,"NEFF GROUP DISTRIBUTORS, INC",9/24/2024
CONN,,,206-6822,PHOENIX CONTACT,_1543058,,"Connector, Universal, 4-position, Socket angled M12 SPEEDCON, Coding: A, Screw connection, cable gland Pg7, external cable diameter 4 mm ... 6 mm",8.93,"NEFF GROUP DISTRIBUTORS, INC",9/24/2024
CONN,,,205-8299,IFM EFECTOR,EBC113,,Y SPLITTER M12-PLUG/2 X M12 SOCKET,23.63,IFM EFECTOR INC.,9/24/2024
IOL,,,206-1998,IFM EFECTOR,IGC260,,"7.5MM SENSING RANGE, M18 THREAD, N.O./N.C. CONFIGURABLE, IO-LINK, FLUSH MOUNTABLE",66.38,IFM EFECTOR INC.,9/24/2024
IOL,,,206-8403,Balluff,BNI00CP,,"I/O LINK MODULE, 2A/CHANNEL, 16-PORT, INPUT/OUTPUT SLAVE, SPLITTER REQUIRED",316.3,"NEFF GROUP DISTRIBUTORS, INC",9/24/2024
CAB,,,201-1592,GRACE,P-R2-K3RF3,,DOOR MOUNTED ETHERNET PORT WITH DUAL GFCI RECEPTACLE,235.26,Rexel,6/30/2025
CONTACTOR,300 NEMA,Size 3,,AB,300-DOD930,,"Contactor, AC, Size 3, 90 Amp, 600 Volt AC, 25 - 50 Horse Power, 120 Volt Coil, Open Type, No Enclosure","1,228.70",Rexel,7/9/2025
CONTACTOR,300 NEMA,Size 4,,AB,300-EOD9311,,"Contactor, AC, Size 4, 100-250V 50-60 Hz/100-250V DC, 3 NO Poles, 1 N.O, 1 N.C. Auxiliary Contact, Screw Terminals","2,580.63",Rexel,7/9/2025
OL,,,,AB,193-ESM-I-200A-D180,,SENSING MODULE CURRENT 20-200 AMP MOUNTS TO 100-D115 - 100-D180 CONTACTOR,366.3,Rexel,7/9/2025
CAB,,,,HOFFMAN,A90PM78G,,"Panel For Enclosure, Size: 78 x 72 Inch, Material/Finish: Conductive Steel,",904.97,Rexel,7/9/2025
CAB,,,,HOFFMAN,AU90X7824RLP,,"2Dr, 90x78x24 RightSideOpen","3,562.19",Rexel,7/9/2025
CAB,,,,HOFFMAN,AU90X4024RLP,,"1Dr, 90x40x24 RightSideOpen","2,069.61",Rexel,7/14/2025
SW,FT SE,,,,9701*-VWSVBDL05T3*,,FactoryTalk View SE Small Bundle: Unlimited Display Server with 5 Clients,"17,462.52",REXEL,2/11/2025
PC,HX500,,,OnLogic,HX500-I7-512SSD-16GB-WIN10LTSC,,"LOGIC SUPPLY - HX500 COMPUTER, 16GB WT RAM, 512GB SSD, CORE I7, WIN10 LTSC, TB PWR, AUTO ON, WALL BRKTS, PORT BLK","1,911",LOGIC SUPPLY INC.,11/14/2024
HMI,,,,HOPE INDUSTRIAL,VESA-RADARM2-BLK,,Radial Arm Mount For Industrial Monitor,332,"Hope Industrial Systems, INC.",2/18/2025
PC,,,,HP,Generic Server PC,,Server,"3,500",,11/14/2024
HMI,,,,HOPE INDUSTRIAL,HISML19-CTBH,,"19"" TOUCH SCREEN MONITOR","1,031","Hope Industrial Systems, INC.",11/20/2024
CAB,,,,HOFFMAN,A90PM40G,,"Panels for Large Bulletin A27, A28, A28S4 and A34 Multi-Door Enclosures, fits 84x 1 Bay, Steel",280.58,Rexel,7/15/2025
CAB,,,,HOFFMAN,AU9024EPT,,END PLATE 90X24,775.93,Rexel,7/15/2025
CAB,,,,HOFFMAN,AU9024FGK,,GASKET KIT 90X24,131.51,Rexel,7/15/2025
MCCB,140G,250,,AB,140G-J6H3-D25,,"Breaker, Molded Case, 250 Amp, 3-Pole, 600 Volt AC, 65 kAIC, J Frame","1,822.05",Rexel,7/15/2025
MCCB,140G,125,,AB,140G-G6C3-D12-KJ,,"Breaker, Molded Case, G Frame, 65 kAIC, T/M - Thermal Magnetic, 3 Poles, Rated Current 125 Amp, 600 Volt AC, 1 Normally Open/Normally Closed Auxiliary Contact, 24 Volt AC","1,563.75",Rexel,7/15/2025
INST-LAS,,,206-0464,WENGLOR,WP-Mount,,MOUNTING SYSTEM FOR  50 X 50 X 20-40MM,9.3,,8/2/2023
INST-LAS,,,206-0307,WENGLOR,OY1P303P0102,,"DISTANCE LASER SENSOR, 3M RANGE, 0-10VDC / 4-20MA ANALOG OUTPUT, I/O LINK INTERFACE",241.01,,2/12/2024
CBL,,,,IFM,EVC086,,M12- 15M FEMALE CORDSET,38,IFM,7/15/2025
Labor,,,,,EngHR,,,145,,7/15/2025
Labor,,,,,Weld,,,125,,7/15/2025
Labor,,,,,Mach,,,125,,7/15/2025
Labor,,,,,Assy,,,125,,7/15/2025
SW,,,,IBA,30.771.024,,"DATA LOGGING PACKAGE WITH IBAPDA-V7-1024 SOFTWARE LICENSE, FOR WINDOWS 10","6,200","iba America, LLC",6/2/2025
PLC,1756,,201-1624,AB,1756-A10,,"Chassis, Mounting, 10 Slots, 20"" x 30"" x 8""",696.53,Rexel,7/16/2025
PLC,1756,,206-8795,AB,1756-A17,,"Chassis, Mounting, 17 Slots, 30"" x 36"" x 8""",983.44,Rexel,7/16/2025
PLC,1756,,201-1711,AB,1756-A7,,"Chassis, Mounting,7 Slots, 20"" x 24"" x 8""",572.01,Rexel,7/16/2025
PLC,1756,,201-1623,AB,1756-EN2TR,,"Module, Communications, EtherNet/IP Bridge, 10 - 100Mbps","3,240.20",Rexel,7/16/2025
PLC,1756,,206-2469,AB,1756-EN4TR,,"Module, Communications, EtherNet/IP, 10M/100M1G 512 TCP Connections","3,730.32",Rexel,7/16/2025
PLC,1756,,205-2571,AB,1756-HSC,,"I/O Module, High Speed Counter, 2 Counter w/3 Input and 4 Output","1,199.98",Rexel,7/16/2025
PLC,1756,,201-1817,AB,1756-IA16,,"I/O Module, Digital AC Input, 16 Channel, Current Sinking, 120VAC",520.58,Rexel,7/16/2025
PLC,1756,,207-2585,AB,1756-IA16I,,"I/O Module, Digital AC Input, 16 Channel, Current Sinking, 120VAC",655.94,Rexel,7/16/2025
PLC,1756,,204-7411,AB,1756-IB16,,"I/O Module, Digital DC Input, 16 Channel, 24VDC",406.01,Rexel,7/16/2025
PLC,1756,,206-5830,AB,1756-IB16S,,"I/O Module, ControlLogix, Digital DC Input, 16 Channel, Sinking Safety Input Module",783.13,Rexel,7/16/2025
PLC,1756,,204-7828,AB,1756-IB32,,"I/O Module, Digital DC Input, 32 Channel, 24VDC",534.13,Rexel,7/16/2025
PLC,1756,,204-4436,AB,1756-IF16,,"I/O Module, Analog Input, 16 Channel","1,756.47",Rexel,7/16/2025
PLC,1756,,204-7830,AB,1756-IF4FXOF2F,,"I/O Module, Analog, High Speed, Input/Output, 4 Channel","2,653",Rexel,7/16/2025
PLC,1756,,204-7832,AB,1756-IF8,,"I/O Module, Analog Input, 8 Channel","1,216.72",Rexel,7/16/2025
PLC,1756,,205-1047,AB,1756-IF8I,,"I/O Module, Analog Individually Isolated, Input, 8 Channel","2,497.47",Rexel,7/16/2025
PLC,1756,,207-2860,AB,1756-L81ES,,"Controller, GuardLogix, 3/1.5 MB, USB, 1GB Ethernet, 100 EtherNet/IP","6,781.20",Rexel,7/16/2025
PLC,1756,,205-1697,AB,1756-L82E,,"Controller, ControlLogix, 5 MB, USB, 1GB Ethernet, 175 EtherNet/IP","9,731.96",Rexel,7/16/2025
PLC,1756,,205-8689,AB,1756-L82ES,,"Controller, GuardLogix, 5/2.5 MB, USB, 1GB Ethernet, 175 EtherNet/IP, Safety","9,713.15",Rexel,7/16/2025
PLC,1756,,205-4638,AB,1756-L83ES,,"Controller, GuardLogix, 10/5 MB, USB, 1GB Ethernet, 250 EtherNet/IP","13,895.75",Rexel,7/16/2025
PLC,1756,,206-2870,AB,1756-L84ES,,"Controller, GuardLogix, 20/6 MB, USB, 1GB Ethernet, 250 EtherNet/IP","16,993.37",Rexel,7/16/2025
PLC,1756,,205-4639,AB,1756-L8SP,,"Controller, GuardlLogix, Safety Partner, for SIL3/Ple with Primary","1,691.01",Rexel,7/16/2025
PLC,1756,,201-1712,AB,1756-N2,,Slot Filler for ControlLogix Chassis,32.02,Rexel,7/16/2025
PLC,1756,,206-8796,AB,1756-OA16,,"I/O Module, Digital AC Output, 16 Channel, 120/240VAC",736.22,Rexel,7/16/2025
PLC,1756,,206-5835,AB,1756-OBV8S,,"I/O Module, Digital DC, Safety Outputs, 8 Points, (20 Pin) 10-30VDC",944.63,Rexel,7/16/2025
PLC,1756,,205-1376,AB,1756-OF8,,"I/O Module, Analog Output, 8 Channel","2,287.06",Rexel,7/16/2025
PLC,1756,,204-4438,AB,1756-OW16I,,"I/O Module, Digital Output, 16 Channel, 125VDC, 125/240VAC",707.34,Rexel,7/16/2025
PLC,1756,,201-1621,AB,1756-PA75,,"Power Supply, 85 - 265VAC, 20A, 25W","1,254.11",Rexel,7/16/2025
PLC,1756,,205-1377,AB,1756-TBCH,,"Terminal Block, Removable, 36 Pin, Cage Clamp, Standard Housing",96.53,Rexel,7/16/2025
PLC,1756,,206-5833,AB,1756-TBCHS,,CONTROLLOGIX 36 PIN SCREW TERMINAL BLOCK,96.53,Rexel,7/16/2025
PLC,1756,,207-5816,AB,1756-TBE,,"Terminal Block, Housing, Extended Depth",39.51,Rexel,7/16/2025
PLC,1756,,201-3817,AB,1756-TBNH,,"Terminal Block, Removable, 20 Position, NEMA Screw Clamp",78.12,Rexel,7/16/2025
PLC,1756,,206-5838,AB,1756-TBNHS,,CONTROLLOGIX 20 PIN SCREW TRM BLOCK,78.12,Rexel,7/16/2025
CR-Sfty,,,,AB,700S-P710A1,,"NEMA 600 V Safety Relay AC coil, 7 NO & 1 NC, 120 V 60 Hz, Open Type Rail Mounting, Safety Control Relay",290.04,Rexel,7/16/2025
DISC,1494U,,,AB,1494U-J60-C4-M-PC,,"Disconnect Switch, Fusible, Class J Fuse Clips, 60 Amp, 600 Volt AC, Flange Operated, 4 Foot Cable, Painted Metal Handle, Line and Load Lugs Protective Cover","1,016.60",Rexel,7/16/2025
