Category,Model,Rating,master_item_number,manu,part_number,upc,Description,price,vendor,effective_date
WIRE,VFD,Feb-00,206-1420,BELDEN,29530F,,FT. MULTI-CONDUCTOR - 1000V UL FLEXIBLE MOTOR SUPPLY CABLE 3C2/0 133STR VFD 600V BLACK,44.27,"Tanner, Inc. Wire and Cable Specialists",5/19/2025
WIRE,ENCODER,20,205-5312,BELDEN,9873,,"FT. 20 AWG stranded (7x28) tinned copper conductors, polypropylene insulation, 3 twisted pairs, individually shielded with Beldfoil® (100% coverage)",4.34,"Tanner, Inc. Wire and Cable Specialists",5/28/2025
WIRE,,12,204-2645,ANIXTER,2A-1204,,"FT. Cable, 12 AWG, 4 Conductor, VNTC stranded bare copper PVC Nylon PVC jacket 600V type TC E2",1.38,"Tanner, Inc. Wire and Cable Specialists",5/19/2025
CONN,COMPRESSION LUG,,207-8487,,110-3-8-1-LUG,,"SHORT BARREL FLEX CABLE, COMPRESSION LUG, COPPER, 1/0, WIRE RANGE, 3/8 STUD",12,"Tanner, Inc. Wire and Cable Specialists",11/14/2024
PDB,STUD,240A,,,MPDB62203,,Open-Style PDB UL 1953 1000V Tin-plated Copper - 240A 3-Pole 1 - 1 openings; 1/4-20 x 5/8 --- 1/4-20 x 5/8 Stud to Stud,75.71,Rexel,7/16/2025
WW,Lay-in  WireWay,"12""x6""",,Nvent,F126L##,,"FT. Wireway,straight Section, Bulletin F10 (lay-in Type 12 Wireway), Size/dims: 12.00x6.00x120.00, Material/finish: Steel/gray",144,Rexel,7/16/2025
WW,Lay-in  WireWay,"12""x6""",,Nvent,F126LTA,,"Wireway Tee Fitting, Top Opening, 12 Inch x 6 Inch, Steel, Gray",299.14,Rexel,7/16/2025
WW,Lay-in  WireWay,"12""x6""",,Nvent,F126LE9A,,"Wireway 90 Degree Elbow, Lay-In, Top Opening, 12 x 6 Inch",283.72,Rexel,7/16/2025
WW,Lay-in  WireWay,"12""x6""",,Nvent,F126LB,,"Wireway Box Connector, Type 12, Lay-in, 12 x 6 Inch ",104.85,Rexel,7/16/2025
WW,Lay-in  WireWay,"12""x6""",,Nvent,F126LP,,"Wireway Closure End Plate for Type 12 Lay-In Wireway, 12"" x 6""",51.91,Rexel,7/16/2025
CAB,,,,Nvent,A302416LP,,"Wall Mount Enclosure, NEMA 12/13, Continuous Hinge Cover With Clamps, 30 x 24 x 16 Inch, Steel With Gray",491.42,Rexel,7/16/2025
CAB,,,,Nvent,A30P24G,,"Panel For Enclosure, 30"" x 24"", Type 3R, 4, 4X, 12/13, Conductive Steel",66.91,Rexel,7/16/2025
WW,LiquidTight,"1""",,ANAMET,39438,,"FT. Anaconda SEALTITE® - 1"" Type EF Liquidtight Metallic Conduit, Gray",1.92,Rexel,7/16/2025
PLC,1492-IFM,,207-4250,AB,1492-IFM40F-FS120-2,,Connection Products,283.51,Rexel,7/16/2025
PLC,1492-IFM,,207-4251,AB,1492-CABLE010X,,"Cable, Pre-Wired, 20 Conductor, 22 AWG, 1.0 m, (3.28 ft)",148.61,Rexel,7/16/2025
PLC,1492-IFM,,"205-1051,207-4252",AB,1492-CABLE010Y,,"Cable, Pre-Wired, 40 Conductor, 22 AWG, 1.0m, (3.28')",283.45,Rexel,7/16/2025
PLC,1492-IFM,,207-4249,AB,1492-IFM20F-F120-2,,"Interface Module, Fusible, Digital, 20 Point, 120V AC/DC, BFI",271.41,Rexel,7/16/2025
PLC,1492-IFM,,205-4801,AB,1492-CABLE025Y,,"Cable, Pre-Wired, 40 Conductor, 22 AWG, 2.5m, (8.2')",341.09,Rexel,7/16/2025
PLC,1492-IFM,,,AB,1492-CABLE025X,,"Cable, Pre-Wired, 20 Conductor, 22 AWG, 2.5m, (8.2')",163.62,Rexel,7/16/2025
PLC,1492-IFM,,,AB,1492-IFM40F-FS-4,,"Interface Module, Digital, Fusible, 40 Point Isolated, Fuse Clips",371.32,Rexel,7/16/2025
MTR,,100HP,207-8387,BALDOR,"100HP, 1750/3550RPM, 460VAC, 124A, FL2898Z FRAME. TEAO-BC, HS35M ENC.",,"BALDOR, AC 100HP, 1750/3550RPM, 460VAC/3PH/60, 124A, FL2898Z FRAME, FOOT MOUNTED, STD 1 MI O. 200% BELOW/125% ABOVE BASE SPEED, TEAO-BC ENCLOSURE, F2 CONDBOX, CLASS H, 40°C AMB, 1.0SF, (3) N.C. THERMOSTATS, AVTRON HS35M ENCODER, 2048PPR, EPIC CONN","12,756",TORQUE DRIVES,11/14/2024
MTR,,75HP,207-6730,BALDOR,"75HP AC MOTOR, 1150/2300RPM, 460VAC, 96A, FL2898Z FRAME, TEAO-BC, HS35M ENC.",,"BALDOR 75HP RPM-AC MOTOR, 1150/2300RPM, 460VAC/3PH/60, 96A, FL2898Z FRAME, COUPLED DUTY, FOOT MOUNTED, WK²=11.1 LB-FT², 200% BELOW/125% ABOVE BASE SPEED, TEBC, CLASS H, 40°C AMB, 1.0SF, (3) N.C. THERMOSTATS, HS35M AVTRON ENCODER, 2048PPR, EPIC CONN","11,795",TORQUE DRIVES,11/14/2024
MTR,,25HP,207-5253,BALDOR,"25HP AC MOTOR, 1750/3500 RPM, 460V, 34A, FL2162CZ FRAME, TEAO-BC,HS35M ENC.",,"BALDOR 25HP AC MOTOR, 1750/3500 RPM, 460V/3PH/60HZ, 34A, FL2162CZ FRAME, FOOT/C-FACE, 1MIN O/L, 200%/125% TORQUE, TEAO-BC, F3 BOX, CLASS H, 40C, 1.0SF, 3 N.C. THERMOSTATS, AVTRON HS35M ENCODER, 2048 PPR, EPIC CONNECTOR","6,250",TORQUE DRIVES,2/12/2025
RIO,1794,,204-7110,AB,1794-AENTR,,"Communications Adaptors, Dual Port, Flex I/O, Ethernet/IP, 8 Modules, 24 Volt DC, 640 mA, 7.3 Watt","1,062.81",Rexel,7/16/2025
PL,,,,AB,800T-PL-LED-12-130V AC/DC,,"Pilot Light, LED, 12-130V AC/DC, 30 mm, Type 4/13",115.80058,Rexel,6/30/2025
FU,CC,,,,CC<=30A,,"Class CC Fuse, ## Amp, LOW-PEAK, Time-Delay",21.44,Rexel,7/17/2025
FU,J,,,,J<=30,,Class J Fuse ≤ 30A,29.1,Rexel,7/17/2025
FU,J,,,,J<=60,,Class J Fuse ≤ 60A,44.68,Rexel,7/17/2025
FU,J,,,,J<=100,,Class J Fuse ≤ 100A,79.14,Rexel,7/17/2025
FU,J,,,,J<=200,,Class J Fuse ≤ 200A,160.17,Rexel,7/17/2025
FU,Glass,,,,"Glass Fuse 1/4""",,"Fuse, # Amp, 250 Volt AC, Time Delay",2.5,Rexel,7/17/2025
MCCB,140G,,204-5938,AB,140G-G6C3-C40,,"Breaker, Molded Case, 40A, 3P, 600Y/347VAC, G6 Frame, 65kAIC",539.44,Rexel,7/17/2025
MCCB,140G,,204-6131,AB,140G-G-FCX03,,"Breaker, Flex Cable Operator, Non-Metallic Handle, 3' Length",435.36,Rexel,7/17/2025
MCCB,140G,,205-9395,AB,140G-G-MTL63,,"Breaker, Molded Case, G Frame, Terminal Lugs, 6 x 14-2AWG",56.38,Rexel,7/17/2025
MCCB,MCCB,,"205-9396,204-3637",AB,140G-G-TLC13,,"Breaker, Molded Case, G Frame, Terminal Lugs, 14-1/0AWG, CU Only",19.66,Rexel,7/17/2025
RIO,1734,,"206-0401,206-1822",AB,1734-4IOL,,"Interface Module, POINT 4 Channel, IO-Link Master",385.5,Rexel,7/17/2025
CR-SFTY,,,204-7917,AB,700-HN123,,"Socket, 8-Pin, Miniature, Coil and Contact Separation, for 700-HP",12.41,Rexel,7/17/2025
CR-SFTY,,,205-3726,AB,700-HPS2Z24,,"Relay, Safety, Control, 8-Blade, 24VDC, 2PDT, 8A",23.07,Rexel,7/17/2025
CAB,,,201-1068,HOFFMAN,A36P30,,"Panel For Enclosure, 36"" x 30"", Type 3R, 4, 4X, 12/13, Steel",106.88,Rexel,7/17/2025
CAB,,,201-4196,HOFFMAN,A36SA3210LPPL,,"Disconnect Enclosure, 36 x 32 x 10"", Steel/Gray",652.92,Rexel,7/17/2025
GND,,,201-4197,ILSCO,D167-8,,"Neutral/Ground Bar Kit, 8 Circuit",55.02,Rexel,7/17/2025
RF,,,,Prosoft Technology,A2404NJ-OC-B,,2.4GHZ BASE STATION ANTENNA OMNIDIRECTIONAL,220.74,Rexel,7/17/2025
RF,,,,Prosoft Technology,C19M10-30-002,,"Extension Cable, LMR-195, RP SMA Connector, 2', 2.5KW, 1000VDC",98.75,Rexel,7/17/2025
RF,,,,Prosoft Technology,C19M10-40-002,,"Conversion Cable, LMR-195, RP SMA Male to N Male Plug, 2', 2.5KW",71.16,Rexel,7/17/2025
RF,,,,Prosoft Technology,RLX2-IHNF-A,,"Wireless Hotspot, 802.11abgn, Fast Industrial, DIN Rail","1,959.07",Rexel,7/17/2025
BEACON,,,,AB,854K-BPM10C,,"Mounting Base, 60mm, Blk Housing",76.81,Rexel,7/17/2025
BEACON,,,206-1025,AB,856T-BB4,,"Light Modules, 70mm, Black, Red LED",198.66,Rexel,7/17/2025
BEACON,,,"206-1026,206-2244",AB,856T-BP1,,"Sound Modules, 70mm, 8 Tones, Black",107.57,Rexel,7/17/2025
MPCB,,,,AB,140MT-C3E-B63,,"MPCB, Standard Magnetic Trip (Fixed at 14 x le), 4.0 - 6.3 A, Std. Performance, Frame Size C",295.15,Rexel,7/17/2025
CONTACTOR,100-C,23A,,AB,100-C23D10,,"100-C IEC Contactor, 120V 60Hz, Screw Terminals, Line Side, 23A, 1 N.O.  0 N.C. Auxiliary Contact Configuration",249.42,Rexel,7/17/2025
OL,,,,AB,193-1EECB,,"E100 Overload Relay, Trip Class 10 or 20, Basic Overload Relay, 1.0...5.0A, IEC 100-C C09...C23",90.31,Rexel,7/17/2025
MPCB,,,,AB,140MT-F9N-C45,,"MPCB,Fixed Magnetic (15 x In) MCP, 45 A, High Performance, Frame Size F",722.59,Rexel,7/17/2025
OL,,,,AB,193-1EEFD,,"E100 Overload Relay, Trip Class 10 or 20, Basic Overload Relay, 11...55A, NEMA 300 Size 0...2, Standard",138.49,Rexel,7/17/2025
DCPS,1606,10A,"201-1596

",AB,1606-XLE240EN,,"Power Supply, 240W, 24 - 28VDC, Output, 120 AC Input",277.29,Rexel,7/17/2025
COMM,CAT6,,205-6598,PHOENIX CONTACT,_2703015,,"PATCH PANEL, TWO RJ45 SOCKETS, 10/100/1000 MBPS, DIN RAIL MOUNTING, IP20",56.02,"NEFF GROUP DISTRIBUTORS, INC",12/5/2024
FU,,,,AB,1492-H4,,"Terminal Block, Fuse Holder, 15A, 100 - 300V AC/DC, Neon BFI",10.94,Rexel,7/17/2025
FU,,,,AB,1492-FB2J30,,"Fuse Holder, Class J Type Fuses, 2 Pole, 30 Amp, 110 - 600 Volt",55.04,Rexel,7/17/2025
CAB,,,"205-3879,201-1769",HOFFMAN,A808CH,,"Junction Box, NEMA 12, Hinged Cover, 8"" x 8"" x 4""",53.9,Rexel,7/17/2025
CAB,,,"205-3880,201-2142,201-2412",HOFFMAN,A8P8,,"Panel For Junction Box, 8"" x 8"", Steel/White Powder Coat Finish",5.37,Rexel,7/17/2025
INST-PRS,,,,IFM EFECTOR,IGC258,,Inductive sensor; M18 x 1 / L = 45 mm; Sensing range 8 mm flush mountable; normally open; DC; PNP; M12 Connector,90.72,,7/17/2025
INST-PRS,,,,IFM EFECTOR,U20302,,Angle bracket; M18 x 1 mm,8,,7/17/2025
MCCB,140G,,,AB,140G-G6C3-D10-KJ,,"Molded Case Circuit Breaker, G Frame, 65 kA Interrupt Rating, T/M - Thermal Magnetic, 3 Poles, Rated Current 100 Amp, 1 Normally Open/Normally Close Auxiliary, 24 Volt DC","1,028.51",Rexel,7/21/2025
Surge,,,201-1620,SOLA HD,STV25K-10S,,SURGE SUPPRESSOR DIN RAIL MOUNT,343.14,Rexel,7/21/2025
SW,FT SE,,,,9701*-VWSTNBDLT4*,,FactoryTalk View SE Station Bundle: Unlimited Displays - 1 Client,"5,069.34",REXEL,7/21/2025
MTR,,30HP,207-4036,BALDOR,"30HP AC MOTOR, 1750/3500RP, 460V, 40 FLA, FL2162CZ FRAME, TEBC, HS35M ENC.",,"BALDOR RPM/AC MOTOR, 30HP, 1750/3550RPM, 460V 3PH 60HZ 40A, FL2162CZ FRAME, FOOT MOUNTED W/ 250TC C-FACE, TEBC, AVTRON HS35M ENCODER W/ EPIC CONNECTOR, F-3 CONDUIT BOX, INCLUDES BALDOR ENCODER KIT P/N 417077-302.","6,929",TORQUE DRIVES,7/21/2023
OSMNT,,,,SAGINAW,SCE-SA360C,,"Coupling, 360 Swivel",190.79,SAGINAW,7/21/2025
OSMNT,,,,SAGINAW,SCE-SA90A,,"Angle, 90 deg",180.02,SAGINAW,7/21/2025
OSMNT,,,,SAGINAW,SCE-SA230WH,,"Wall Hinge, 230 Swivel",507.63,SAGINAW,7/21/2025
OSMNT,,,,SAGINAW,SCE-SA20TC,,"20"" Closed Tube Suspension Profile",138.28,SAGINAW,7/21/2025
OSMNT,,,,SAGINAW,SCE-SA39TC,,"39"" Closed Tube Suspension Profile",224.64,SAGINAW,7/21/2025
OSMNT,,,,SAGINAW,SCE-SA79TC,,"79"" Closed Tube Suspension Profile",298.93,SAGINAW,7/21/2025
MCP,140MG,250A,,AB,140MG-J8P-D25,,"140MG - Motor Circuit Protectors, J frame, 35..65 kA at 480V, MCP (magnetic only), Rated Current 250 A","1,629.45",Rexel,7/23/2025
OL,,,,AB,193-ESM-I-200A-E205,,Current Sensing Module (20...200 A) Mounts to 100-E190...E205 contactor,373.11,Rexel,7/23/2025
CONTACTOR,100-E,190A,,AB,100-E190ED11,,"Contactor, 190 Amp, AC3 Duty, 100 - 250 Volt AC/DC, Electronic Coil , with PLC Input, 1 Normally Open, 1 Normally Closed","1,537.62",Rexel,7/23/2025
MCP,140MG,200A,,AB,140MG-J8P-D20,,"Breaker, Molded Case, 200 Amp, 3-Pole, J Frame, 480 Volt AC, 65 kAIC, Magnetic Trip Only","1,629.45",Rexel,7/23/2025
CONTACTOR,100-E,146A,,AB,100-E146ED11,,"Contactor, 146 Amp, AC3 Duty, 100 - 250 Volt AC/DC, Electronic Coil , 1 Normally Open, 1 Normally Closed",898.7,Rexel,7/23/2025
OL,,,,AB,193-ESM-I-200A-E146,,Current Sensing Module (20...200 A) Mounts to 100-E146 contactor,380.9,Rexel,7/23/2025
INST-PRS,,,,IFM EFECTOR,IIS226,,Inductive sensor; M30 x 1.5 / L = 60 mm; Sensing range 15 mm flush mountable; normally open; DC; PNP; M12 Connector; IP 65; IP 66; IP 67; IP 68; IP 69K; 3-wire; Ambient temperature -40...85 °C; Switching frequency 100 Hz,99.9,IFM,7/23/2025
CONN,,,,CANFIELD CONNECTOR,5J6F4-A11-US0A - 2,,"Universal, 4-position, Socket angled M12 SPEEDCON, Coding: A, Screw connection, cable gland Pg7, external cable diameter 4 mm ... 6 mm",20.6,,7/23/2025
CONN,,,,MENCOM,MS14SPM-7FP-10M-B-EN01,,CM 7 POLE 10 METER CABLE ASSEMBLY,118.38,,11/14/2024
CONN,,,,MENCOM,VAN-590-00,,"SOLENOID VALVE CONNECTOR, CORDSET, 4 POLE, FORM A, 5 METERS,  50V",16.89,,11/14/2024
,,,,,,,,,,11/14/2024
CONN,,,,IFM,EVC854,,Y connection cable,35.42,IFM,7/25/2025
CONN,,,,CANFIELD CONNECTOR,P5103-1751000,,CONNECTOR 24 VOLT DS HOODS ONLY,12.08,CANFIELD CONNECTOR,7/25/2025
CAB,,,,HOFFMAN,A1412CH,,"Junction Box, NEMA 12, Hinged Cover, 14 x 12 x 6 Inch, Steel/Gray",95.46,Rexel,7/25/2025
CAB,,,,HOFFMAN,A14P12,,"Panel for Junction Box Size: 14"" x 12"", Size/Dims: 12.75x10.88, Material/Finish: Steel/White",10.76,Rexel,7/25/2025
OS,,,,WIEGMANN,WC1248BD,,"48"" WIDE CONSOLE BODY, OILTIGHT, CARBON STEEL","2,800",MIDWEST FABRICATIONS,9/8/2023
OS,,,,WIEGMANN,WC1248W,,"48"" WIDE CONSOLE WRITING DESK, CARBON STEEL GRAY","2,600",MIDWEST FABRICATIONS,9/8/2023
OS,,,,WIEGMANN,WC12B,,"WC12 36"" WIDE CONSOLE BODY, OILTIGHT, CARBON STEEL - GRAY TOP","2,600",MIDWEST FABRICATIONS,1/27/2025
OS,,,,WIEGMANN,WC12W,,"WC12W - WC12 36"" WIDE CONSOLE WRITING DESK,CARBON STEEL","2,650",MIDWEST FABRICATIONS,10/10/2023
PB,800T-Generic,,,AB,800T-PB,,"Push Button, Flush Head, Black, Momentary, 30 mm, NEMA 4/13, 1 Normally Open, 1 Normally Closed, Contact Block",60.23,Rexel,7/28/2025
PB,800T-Generic,,,AB,800T-SL,,"Pilot Light, LED, 12 - 130 Volt AC/DC, 30 mm, Type 4/13",118.01,Rexel,7/28/2025
PB,800T-Generic,,,AB,800T-SS-2POS,,"Selector Switch, 2 Position, Maintained, 30mm, Black Knob, White Insert, 1 Normally Open, 1 Normally Closed, Contact Block, Nema 4/13",70.88,Rexel,7/28/2025
PB,800T-Generic,,,AB,800T-SS-3POS,,"Selector Switch, 3 Position, 30mm, Knob Lever, Black with White Insert, Spring Return from Both, KB7 Cam, 2 Normally Open, 2 Normally Closed",92.03,Rexel,7/28/2025
PB,800T-Generic,,,AB,800T-PBLT,,"Push Button, Illuminated, Extended Head, with Guard, 12 - 130 Volt AC/DC, LED, 30 mm, Type 4/13, 1 Normally Open, 1 Normally Closed",160.44,Rexel,7/28/2025
PB,800T-Generic,,,AB,800T-SS-2POS-KEY,,"Selector Switch, 2 Position, Keyed, 30mm, Key Removal from Left, Key Code D018, 1 Normally Open, Contact Blocks, NEMA 4/13",137.58,Rexel,7/28/2025
PB,800T-Generic,,,AB,800T-SS-4POS,,"Selector Switch, 4 Position, Lever Knob, Maintained, 4 Normally Open, 4 Normally Closed, Contacts, 4 x 800T-XA, 2 on White Side, 2 on Black Side, F Cam, 30mm",167.39,Rexel,7/28/2025
PB,800T-Generic,,,AB,440T-MRPSE11BB,,"Switch, ProSafe, Rotary, Panel Mount, Trapped Key, 20 Amp, 2 Normally Open, 2 Normally Closed, Contacts, Code BB",286.22,,7/28/2025
PB,800T-Generic,,,AB,440T-AKEYE10BB,,"Key, ProSafe, Interlocked Key Switch, Trapped, Key Code Bb",52.39,,7/28/2025
Labor,,,,,EngHrs-v0.2,,Engineering Hours,0,,7/25/2025
RIO_K,1734_K,,,AB,1734-IB8K,8.90E+11,"I/O Module, Digital DC Input, 8 Channel, DIN Rail, 24VDC",198.09047,Rexel,7/29/2025
RIO_K,1734_K,,,AB,1734-OB8K,8.90E+11,POINT I/O 8POINT DIGITAL OUTPUT MODULE-K,223.80274,Rexel,7/29/2025
RIO_K,1734_K,,,AB,1734-OW4K,8.90E+11,POINT I/O 4 POINT RELAY OUTPUT MODULE-K,288.07199,Rexel,7/29/2025
RIO_K,1734_K,,,AB,1734-IE2VK,8.90E+11,POINT I/O 2 POINT ANALOG INPUT MODULE-K,502.22406,Rexel,7/29/2025
RIO_K,1734_K,,,AB,1734-AENTRK,8.90E+11,"Communication Adapter, 2 Ethernet/IP Ports, Conformally Coated","1,050.50",Rexel,7/29/2025
RIO_K,1734_K,,,AB,1734-OE2VK,8.90E+11,POINT I/O 2 POINT ANALOG OUTPUT MODULE-K,523.6446,Rexel,7/29/2025
RIO_K,1734_K,,,AB,1734-IB8SK,1.91E+11,"I/O Module, Safety, 8 Point Input, Conformal Coated",846.88135,Rexel,7/29/2025
RIO_K,1734_K,,,AB,1734-OB8SK,1.91E+11,"I/O Module, Safety, Digital DC Output, 8 Channel, Current Sourcing, 24VDC",985.68037,Rexel,7/29/2025
INST-PT,,,,IFM EFECTOR,PN2271,,Pressure sensor with display,505.5,,7/29/2025
MCCB,PowerPacT,P Frame,,SQD,PJL36100U31A,,"Molded Case Circuit Breaker 480v, 3p
1000A, Air 65 Ka, 50/60 Hz Ul 489, Line/Load Lugs
","5,134",Crescent Electric,8/7/2025
MCCB,PowerPacT,,,SQD,9422CMP40,,"DISCONNECT MECHANISM CIRCUIT
BREAKER CABLE OPERATED 150/250A 3
POLE POWERPACT M P BREAKER 48 INCH
CABLE",484.28,Crescent Electric,8/7/2025
MCCB,PowerPacT,,,SQD,9422AP1,,"OPERATING MECHANISM FLANGE MOUNTED
VARIABLE DEPTH 6 INCH DUAL CABLE
HANDLE MECHANISM NEMA 1 3R 4 SHEET
STEEL 12",114.82,Crescent Electric,8/7/2025
MCCB,140G,J Frame,,AB,140G-J6F3-D15,8.86E+11,"Breaker, Molded Case, 150 Amp, 3-Pole, 600 Volt AC, 65 kAIC, J Frame","1,577.17",Rexel,8/18/2025
MCCB,140G,,,AB,140G-J-FMXB04,1.91E+11,"Handle Accessories/Operating Mechanisms, 140G Flange Cable - Metal Bail, Painted Metal Handle, 4 Foot",449.93,Rexel,8/18/2025
MCCB,140G,,,AB,140G-J-EZ,1.91E+11,"Breaker, Operating Systems, Mounting Plate, Frame I/J/K",98.55,Rexel,8/18/2025
MCCB,140G,J Frame,,AB,140G-J-MTL63,8.86E+11,"Breaker, Molded Case, J Frame, Terminal Lugs, 6 x 12 - 2 AWG, CU Only",119.87,Rexel,8/18/2025
MCCB,140G,J Frame,,AB,140G-J-TLA13,8.86E+11,"Breaker, Molded Case, J Frame, Terminal Lugs, 14 - 1/0 AWG, AL/CU",47.81,Rexel,8/18/2025
PLC,5069,,206-9700,AB,5069-L310ERS2,8.90E+11,"Controller, Compact GuardLogix, 5380, 1MB Standard & 0.5MB Safety Memory","2,803.01",8/18/2025,8/18/2025
PLC,5069,,"205-3080,205-1300",AB,5069-RTB64-SCREW,8.87E+11,"Accessory, I/O Power Terminal RTB Kit for Both 4 - 6 Pin Screw Type",37.89,8/18/2025,8/18/2025
PLC,5069,,205-0188,AB,5069-IB16,8.86E+11,"I/O Module, CompactLogix, 16 Channel, 24VDC, Sink Input, Requires Terminal Kit",294.8,8/18/2025,8/18/2025
PLC,5069,,205-7336,AB,5069-OB16,8.86E+11,"I/O Module, CompactLogix, 16 Channel, 24VDC, Source Output, Requires Terminal Kit",381.1,8/18/2025,8/18/2025
PLC,5069,,205-8220,AB,5069-IB8S,8.86E+11,"I/O Module, Safety Input, Compact 5000, 8 Channel, 24VDC",670.3,8/18/2025,8/18/2025
PLC,5069,,206-9661,AB,5069-IY4,8.86E+11,"I/O Module, Compact, 4 Channel, Voltage/Current/RTD/TC, Input Module",578.38,8/18/2025,8/18/2025
PLC,5069,,205-8221,AB,5069-OBV8S,8.90E+11,"I/O Module, Compact 5000, 8 Channel, 24VDC Safety Configurable Output",860.84,8/18/2025,8/18/2025
PLC,5069,,204-7766,AB,5069-RTB18-SPRING,8.86E+11,"Terminal Block, Compact I/O, 18 Pins, Spring Clip Type",69.27,8/18/2025,8/18/2025
PLC,5069,,205-3777,AB,5069-OF4,8.86E+11,"I/O Module, CompactLogix, 4 Channel, Voltage/Current Analog, Output",923.61,8/18/2025,8/18/2025
PLC,5069,,"207-7201,205-3958",AB,5069-IF8,8.86E+11,"I/O Module, CompactLogix, 8 Channel, Voltage/Current, Input Module",971.81,8/18/2025,8/18/2025
PLC,5069,,206-9662,AB,5069-OB8,8.90E+11,"I/O Module, CompactLogix, 8 Channel, 24VDC, Source Output",352.07,8/18/2025,8/18/2025
PLC,5069,,"205-6639,207-3825",AB,5069-OW16,8.90E+11,"I/O Module, Compact, 16 Channel, Non-Isolated, NO, Relay Output",784.62,8/18/2025,8/18/2025
PLC,5069,,206-9663,AB,5069-OF8,8.86E+11,"I/O Module, CompactLogix, 8 Channel, Voltage/Current Analog, Output","1,703.75",8/18/2025,8/18/2025
PLC,5069,,207-3798,AB,5069-RTB14CJC-SCREW,8.86E+11,"Compact 5000 14 Screw RTB With CJC, 14 Pin, Screw Type Terminal Blo",69.27,8/18/2025,8/18/2025
COMM,5200,10-Port,,AB,1783-CMS10P,,"Stratix 5200 Switch, 8 Copper 100/1000 Ports, 2 Combo 100/1000 Ports, Full FW","1,868.52",Rexel,8/18/2025
